Bait,Prey_proteinname,Prey_genename
FOXA2,,TLE1
FOXA2,,EN2
FOXA2,,HOXA5
FOXA2,,LHX1
FOXA2,,GSC
FOXA2,,OTX2
FOXA2,,NCOA1
FOXA2,,ONECUT1
FOXA2,,ONECUT1
FOXA2,,OTX2
FOXA2,,TLE1
FOXA2,,HOXA5
FOXA2,,PPARGC1B
FOXA2,,HOXD13
FOXA2,,SATB2
FOXA2,,ADAR
FOXA2,,AGL
FOXA2,,DACH1
FOXA2,,FOXN2
FOXA2,,HOXB13
FOXA2,,NACC1
FOXA2,,SALL1
FOXA2,,TCF7L2
FOXA2,,RNF4
GATA1,,AKT1
GATA1,,ATP6V0D1
GATA1,,BCL6
GATA1,,CASP3
GATA1,,CREBBP
GATA1,,DNMT3L
GATA1,,EP300
GATA1,,EP300
GATA1,,FANCG
GATA1,,FHL3
GATA1,,FLI1
GATA1,,FLI1
GATA1,,FLI1
GATA1,,FLI1
GATA1,,ZFPM2
GATA1,,HDAC1
GATA1,,HDAC3
GATA1,,HDAC4
GATA1,,HDAC5
GATA1,,HDAC3
GATA1,,HDAC4
GATA1,,HDAC5
GATA1,,FLI1
GATA1,,ARID1A
GATA1,,SMARCA4
GATA1,,SMARCC2
GATA1,,SMARCC1
GATA1,,SMARCD1
GATA1,,SMARCE1
GATA1,,SMARCB1
GATA1,,ZBTB16
GATA1,,LMO2
GATA1,,LMO2
GATA1,,FLI1
GATA1,,MED14
GATA1,,MED17
GATA1,,MED1
GATA1,,ZFPM1
GATA1,,TAF7
GATA1,,TRIM25
GATA1,,ZBTB22
GATA1,,RAI1
GATA1,,TRIM29
GATA1,,ZZZ3
GATA1,,TAX1BP3
GATA1,,SKI
GATA1,,HSPB1
GATA1,,CEBPE
GATA1,,SPI1
GATA1,,SRA1
GATA1,,HSPA4
GATA1,,SPIB
GATA1,,FLI1
GATA1,,PRKAA1
GATA1,,HOXA1
GATA1,,PRKAB2
GATA1,,FRS3
GATA1,,RADIL
GATA1,,KRTAP9-2
GATA1,,FBF1
GATA1,,HEXIM2
GATA1,,CCDC24
GATA1,,KRTAP10-5
GATA1,,DHX36
GATA1,,TRIP6
GATA1,,HEMGN
GATA1,,EP300
GATA1,,PML
GATA1,,PML
GATA1,,KRTAP3-2
GATA1,,LZTS2
GATA1,,MDFI
GATA1,,TRIP6
GATA1,,TRIP6
GATA1,,TRAF1
GATA1,,RBPMS
GATA1,,PNMA1
GATA1,,MDFI
GATA1,,GLRX3
GATA1,,GOLGA2
GATA1,,GRAP2
GATA1,,HDAC1
GATA1,,HDAC3
GATA1,,HDAC4
GATA1,,HDAC5
GATA1,,HEMGN
GATA1,,HEMGN
GATA1,,HSPB1
GATA1,,HSPB1
GATA1,,IKZF1
GATA1,,LMO2
GATA1,,MAPK6
GATA1,,MED1
GATA1,,NME1
GATA1,,PML
GATA1,,PPP1R16B
GATA1,,PRKAB2
GATA1,,PRKAB2
GATA1,,PSMF1
GATA1,,Rb1
GATA1,,RIN3
GATA1,,SP1
GATA1,,SPI1
GATA1,,TAL1
GATA1,,TAL1
GATA1,,TENC1
GATA1,,TENC1
GATA1,,TRAF1
GATA1,,ZBTB16
GATA1,,ZDHHC17
GATA1,,ZFPM1
GATA1,,ZFPM2
GATA2,,AKT1
GATA2,,BMI1
GATA2,,CCNA2
GATA2,,CDK1
GATA2,,ELAVL1
GATA2,,EP300
GATA2,,FBXW7
GATA2,,FHL3
GATA2,,PML
GATA2,,HDAC3
GATA2,,HDAC5
GATA2,,PML
GATA2,,PML
GATA2,,ZBTB16
GATA2,,ZBTB32
GATA2,,ZBTB16
GATA2,,LMO2
GATA2,,LMO2
GATA2,,JUN
GATA2,,ZFPM1
GATA2,,SMAD4
GATA2,,POU2AF1
GATA2,,MED1
GATA2,,POU1F1
GATA2,,POU1F1
GATA2,,SPI1
GATA2,,SMAD4
GATA2,,SMAD4
GATA2,,GOLGA2
GATA2,,MDFI
GATA2,,PSMA3
GATA2,,TRAF1
GATA2,,ADAMTSL4
GATA2,,PRR20A
GATA2,,KRT40
GATA2,,KRTAP10-9
GATA2,,KRTAP10-3
GATA2,,NOTCH2NL
GATA2,,FBXW7
GATA2,,SKP1
GATA2,,CUL1
GATA2,,RBX1
GATA2,,FBXW7
GATA2,,ZFPM1
GATA2,,TRAPPC9
GATA2,,TRAPPC10
GATA2,,TRAPPC4
GATA2,,IMPDH1
GATA2,,CCNA2
GATA2,,CDK2
GATA2,,CDK4
GATA2,,HDAC3
GATA2,,KAT2A
GATA2,,LMO2
GATA2,,MED1
GATA2,,POU1F1
GATA2,,POU1F1
GATA2,,POU1F1
GATA2,,SPI1
GATA2,,SPI1
GATA2,,SPI1
GATA2,,SPI1
GATA2,,SPI1
GATA2,,TAL1
GATA2,,TNIP2
GATA2,,TRIM23
GATA2,,ZUFSP
GATA3,,ACTN2
GATA3,,BRCA1
GATA3,,CDK2
GATA3,,CREBBP
GATA3,,CREBBP
GATA3,,CREBBP
GATA3,,FOXA1
GATA3,,FOXP3
GATA3,,LMO1
GATA3,,LMO2
GATA3,,TAL1
GATA3,,BMI1
GATA3,,MDM2
GATA3,,HDAC3
GATA3,,HDAC5
GATA3,,TBX21
GATA3,,RARB
GATA3,,HDAC4
GATA3,,MYB
GATA3,,BRCA1
GATA3,,USP21
GATA3,,PSMA3
GATA3,,FBXW7
GATA3,,FBXW7
GATA3,,WEE1
GATA3,,TCF7L2
GATA3,,CREBBP
GATA3,,CREBBP
GATA3,,CREBBP
GATA3,,HDAC1
GATA3,,HDAC2
GATA3,,HDAC3
GATA3,,HDAC1
GATA3,,HDAC2
GATA3,,HDAC3
GATA3,,HDAC3
GATA3,,HDAC5
GATA3,,HIF1A
GATA3,,HIF1A
GATA3,,LCK
GATA3,,LMO1
GATA3,,MAPK14
GATA3,,REPIN1
GATA3,,RNF4
GATA3,,SP1
GATA3,,SP1
GATA3,,SPI1
GATA3,,TBX21
GATA3,,TCF7L2
GATA3,,TCF7L2
GATA3,,USP21